iter	RMSE
0	184.0663857
1	176.4983481
2	169.2184984
3	162.1907119
4	155.809669
5	149.4293152
6	143.3408542
7	137.5591487
8	132.1635307
9	126.8672022
10	121.7714612
11	117.1701939
12	112.5549294
13	108.1307188
14	104.0022658
15	100.2028292
16	96.36279853
17	92.67097265
18	89.39443173
19	86.09152348
20	83.15876876
21	80.10201914
22	77.23950204
23	74.52434679
24	71.97269848
25	69.51527401
26	67.24222043
27	65.06419624
28	62.92869664
29	61.00353838
30	59.03044638
31	57.2913524
32	55.70220238
33	54.15376097
34	52.59726577
35	51.22191634
36	49.88267666
37	48.58881845
38	47.40575166
39	46.22054336
40	45.12184405
41	44.1472617
42	43.18561105
43	42.36218304
44	41.47243156
45	40.68638698
46	39.94262173
47	39.22369903
48	38.54298439
49	37.94239669
50	37.32765542
51	36.71672237
52	36.13155895
53	35.58024716
54	35.08890684
55	34.6134534
56	34.18931863
57	33.728999
58	33.3359402
59	32.96279882
60	32.56539871
61	32.26087312
62	31.887984
63	31.51562016
64	31.19566629
65	30.9188345
66	30.64624654
67	30.41146235
68	30.20272312
69	29.93666212
70	29.70879388
71	29.48886133
72	29.280317
73	29.11582382
74	28.89879174
75	28.72164639
76	28.53831879
77	28.33142003
78	28.15385171
79	27.98242958
80	27.82313161
81	27.63665142
82	27.4871638
83	27.36344986
84	27.21008112
85	27.04132434
86	26.92522807
87	26.77642973
88	26.65047669
89	26.52406265
90	26.38561399
91	26.28650168
92	26.16967909
93	26.03066528
94	25.93773721
95	25.85143924
96	25.7310546
97	25.64104492
98	25.56045004
99	25.47598653
100	25.38309018
101	25.30496728
102	25.21358402
103	25.14435724
104	25.03453476
105	24.95980609
106	24.86868613
107	24.79273691
108	24.72455167
109	24.63107175
110	24.54780729
111	24.45159845
112	24.36126384
113	24.28375616
114	24.21282472
115	24.13179705
116	24.05721386
117	24.00583569
118	23.93327628
119	23.85148123
120	23.77771874
121	23.69299907
122	23.63428611
123	23.57137198
124	23.51317096
125	23.45607851
126	23.3983234
127	23.35084961
128	23.28851756
129	23.24441915
130	23.18541421
131	23.14322676
132	23.09119044
133	23.02148063
134	22.94714968
135	22.86542562
136	22.80424528
137	22.73759253
138	22.67175885
139	22.6229878
140	22.54320695
141	22.49889354
142	22.44590501
143	22.38154538
144	22.33411171
145	22.27346564
146	22.24783576
147	22.19469728
148	22.13340836
149	22.09087455
150	22.04073796
151	21.99745952
152	21.95384752
153	21.89426169
154	21.86556432
155	21.81069327
156	21.75143142
157	21.69797781
158	21.65897728
159	21.61426361
160	21.54900712
161	21.50081189
162	21.45259902
163	21.4165857
164	21.37681468
165	21.31980261
166	21.25702418
167	21.21659141
168	21.17902922
169	21.14054809
170	21.09501261
171	21.05703694
172	21.00451526
173	20.94621518
174	20.91359191
175	20.87849118
176	20.83261795
177	20.7875204
178	20.75222753
179	20.71168373
180	20.6677037
181	20.60856195
182	20.57325166
183	20.51797207
184	20.49122886
185	20.44571881
186	20.40277007
187	20.35251316
188	20.32271809
189	20.28404173
190	20.2293742
191	20.19144797
192	20.16084126
193	20.11388634
194	20.07198039
195	20.04369284
196	20.01206423
197	19.96955282
198	19.94124167
199	19.9135919
200	19.87417069
201	19.83471627
202	19.80164419
203	19.7611342
204	19.72696629
205	19.70664112
206	19.67002528
207	19.63292966
208	19.5974442
209	19.55346775
210	19.50722589
211	19.4637883
212	19.42695781
213	19.38226399
214	19.33891004
215	19.31543329
216	19.27111071
217	19.22750115
218	19.19610639
219	19.17288963
220	19.14912468
221	19.10236485
222	19.06622078
223	19.0377655
224	18.98862063
225	18.9455514
226	18.90306456
227	18.86197615
228	18.81835764
229	18.76569629
230	18.72936651
231	18.68054978
232	18.64595811
233	18.61441704
234	18.57513073
235	18.53856219
236	18.50130811
237	18.46737761
238	18.4397607
239	18.40867338
240	18.37499564
241	18.34171667
242	18.31943547
243	18.29611333
244	18.24977568
245	18.22555091
246	18.19264252
247	18.17253711
248	18.13491068
249	18.11356618
250	18.08226351
251	18.05109266
252	18.03386118
253	18.00370848
254	17.97419788
255	17.93437917
256	17.90844096
257	17.88341719
258	17.84595698
259	17.82006551
260	17.79173111
261	17.76431277
262	17.72753294
263	17.69944695
264	17.67336665
265	17.64692974
266	17.62369299
267	17.59458583
268	17.57332914
269	17.55687202
270	17.53158983
271	17.51295373
272	17.50270006
273	17.47004586
274	17.44479097
