iter	Passed	Remaining
0	66	66410
1	70	35044
2	73	24375
3	78	19484
4	82	16514
5	87	14445
6	92	13085
7	97	12114
8	101	11215
9	106	10587
10	111	10031
11	115	9541
12	119	9051
13	122	8637
14	126	8315
15	130	8045
16	134	7789
17	138	7578
18	142	7371
19	146	7191
20	150	7023
21	154	6876
22	158	6739
23	163	6656
24	167	6522
25	170	6391
26	175	6311
27	178	6203
28	182	6099
29	185	6003
30	189	5927
31	194	5872
32	198	5806
33	202	5743
34	206	5680
35	210	5631
36	215	5601
37	219	5554
38	224	5532
39	229	5512
40	233	5466
41	237	5418
42	241	5374
43	245	5333
44	249	5296
45	253	5255
46	257	5224
47	262	5201
48	267	5194
49	273	5190
50	277	5169
51	281	5136
52	286	5114
53	290	5080
54	294	5052
55	298	5028
56	304	5040
57	309	5022
58	313	4999
59	316	4965
60	321	4951
61	325	4928
62	329	4895
63	332	4862
64	337	4850
65	342	4840
66	345	4815
67	349	4794
68	363	4905
69	373	4966
70	381	4987
71	414	5346
72	435	5531
73	455	5695
74	473	5844
75	480	5844
76	488	5854
77	495	5860
78	504	5878
79	513	5909
80	521	5917
81	528	5921
82	542	5998
83	554	6050
84	564	6076
85	570	6063
86	578	6075
87	585	6072
88	593	6072
89	601	6085
90	612	6121
91	624	6159
92	631	6156
93	637	6140
94	642	6116
95	647	6093
96	652	6070
97	656	6044
98	665	6056
99	674	6068
100	680	6058
101	685	6038
102	691	6020
103	696	5998
104	702	5990
105	708	5973
106	713	5958
107	719	5939
108	722	5909
109	727	5887
110	731	5861
111	736	5837
112	740	5811
113	744	5788
114	748	5760
115	752	5737
116	757	5713
117	761	5689
118	765	5663
119	768	5635
120	772	5608
121	776	5586
122	779	5560
123	783	5536
124	787	5511
125	791	5492
126	796	5472
127	799	5448
128	803	5428
129	807	5405
130	811	5385
131	815	5363
132	819	5344
133	824	5330
134	829	5317
135	833	5296
136	837	5278
137	843	5270
138	849	5262
139	853	5245
140	858	5232
141	862	5213
142	866	5194
143	870	5176
144	874	5159
145	879	5143
146	883	5126
147	888	5113
148	896	5121
149	903	5121
150	909	5112
151	914	5099
152	918	5086
153	925	5083
154	930	5070
155	934	5057
156	940	5048
157	947	5049
158	952	5036
159	956	5021
160	961	5010
161	966	5000
162	971	4987
163	976	4978
164	981	4967
165	986	4958
166	992	4949
167	998	4945
168	1005	4942
169	1011	4937
170	1017	4932
171	1026	4940
172	1035	4952
173	1044	4958
174	1056	4981
175	1076	5039
176	1088	5059
177	1098	5072
178	1111	5097
179	1118	5093
180	1127	5102
181	1133	5095
182	1142	5101
183	1148	5095
184	1156	5094
185	1161	5084
186	1169	5082
187	1177	5085
188	1183	5079
189	1191	5080
190	1195	5065
191	1200	5052
192	1205	5039
193	1210	5027
194	1215	5016
195	1223	5018
196	1229	5012
197	1236	5010
198	1242	5002
199	1249	4998
200	1258	5002
201	1266	5002
202	1277	5016
203	1284	5011
204	1290	5005
205	1295	4993
206	1300	4982
207	1305	4972
208	1311	4963
209	1317	4957
210	1324	4950
211	1330	4946
212	1337	4941
213	1341	4928
214	1346	4916
215	1350	4900
216	1356	4895
217	1362	4886
218	1369	4884
219	1374	4874
220	1380	4866
221	1385	4854
222	1391	4847
223	1395	4835
224	1403	4832
225	1409	4826
226	1416	4822
227	1424	4822
228	1429	4814
229	1440	4821
230	1474	4910
231	1487	4925
232	1511	4975
233	1521	4981
234	1528	4974
235	1536	4973
236	1543	4969
237	1549	4961
238	1554	4950
239	1558	4936
240	1564	4927
241	1570	4918
242	1574	4906
243	1580	4896
244	1584	4883
245	1588	4869
246	1594	4860
247	1600	4852
248	1605	4843
249	1611	4833
250	1615	4821
251	1620	4809
252	1624	4796
253	1637	4809
254	1645	4806
255	1649	4792
256	1653	4781
257	1658	4768
258	1663	4759
259	1669	4750
260	1675	4744
261	1682	4738
262	1690	4735
263	1699	4738
264	1706	4734
265	1717	4739
266	1730	4749
267	1737	4746
268	1750	4756
269	1760	4761
270	1770	4763
271	1782	4771
272	1792	4774
273	1802	4776
